name,type,address,위도,경도
금천탁구회관,기타,서울특별시 금천구 시흥대로51길 93,37.4505249,126.8966062
금호공원체육관,생활체육관,서울특별시 성동구 장터1길 20,37.5488842,127.0174652
금호스포츠센터,생활체육관,서울특별시 성동구 금호로 20 ,37.5456152,127.0251825
금호유수지 배드민턴장,배드민턴장,서울특별시 성동구 금호동4가 56,37.54479,127.02339
금호초등학교,기타,서울특별시 성동구 무수막길 69,37.5508993,127.0231793
기자촌근린공원 게이트볼장,기타,서울특별시 은평구 진관동 175-104,37.6421169,126.9354305
길동초등학교,기타,서울특별시 강동구 양재대로116길 69,37.5384848,127.1448633
까치산근린공원 게이트볼장,기타,서울특별시 강서구 까치산로2길 95,37.5398236,126.8432989
까치산근린공원 농구장,농구장,서울특별시 강서구 까치산로2길 95,37.5398236,126.8432989
까치산근린공원 배드민턴장,배드민턴장,서울특별시 강서구 까치산로2길 95,37.5398236,126.8432989
까치산근린공원 족구장,기타,서울특별시 강서구 까치산로2길 95,37.5398236,126.8432989
까치산체육센터,생활체육관,서울특별시 관악구 행운10길 23,37.481992,126.9617455
꿩고개근린공원 게이트볼장,기타,서울특별시 강서구 금낭화로17길 115,37.57531,126.8089735
난지천인조잔디축구장,축구장,서울특별시 마포구 상암동 1538 ,37.5715723,126.8728063
난지한강공원 X게임장,기타,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 농구장,농구장,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 야구장,야구장,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 인라인스케이트장,기타,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 자전거공원,기타,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 족구장,기타,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
난지한강공원 풋살경기장,축구장,서울특별시 마포구 한강난지로 162,37.563795,126.8839974
남부초등학교,기타,서울특별시 관악구 남부순환로163길 14,37.4849492,126.9213461
남산타운문화체육센터,생활체육관,서울특별시 중구 다산로 32 ,37.5476721,127.0084389
내곡동체육시설,기타,서울특별시 서초구 신흥말길 23-5,37.4572379,127.0813813
내곡동체육시설 테니스장,테니스장,서울특별시 서초구 신흥말길 23-5,37.4572379,127.0813813
노들나루 무브 풋살파크(노들나루공원 풋살장),축구장,서울특별시 동작구 노량진로 247,37.5127638,126.9529009
노들나루공원 자전거연습장,기타,서울특별시 동작구 노량진로 247,37.5127638,126.9529009
노들나루공원 족구장,기타,서울특별시 동작구 노량진로 247,37.5127638,126.9529009
노들나루공원 축구장,축구장,서울특별시 동작구 노량진로 247,37.5127638,126.9529009
노량진 야구장,야구장,서울특별시 동작구 노들로 688,37.5152815,126.941282
노량진근린공원,기타,서울특별시 동작구 여의대방로36길 71,37.5066873,126.9283545
노량진근린공원 게이트볼장 (고구동산),기타,서울특별시 동작구 매봉로6길 16,37.5084095,126.9521519
노량진근린공원 게이트볼장 (대방),기타,서울특별시 동작구 여의대방로44길 39,37.5088189,126.925162
노량진근린공원 배드민턴장,배드민턴장,서울특별시 동작구 노량진동 325-2,37.5110101,126.9414634
노량진근린공원 테니스장,테니스장,서울특별시 동작구 여의대방로36길 71,37.5066873,126.9283545
노원구민체육센터,생활체육관,서울특별시 노원구 노원로22길 1,37.6476476,127.0721259
노원구민체육센터 수영장,수영장,서울특별시 노원구 노원로22길 1,37.6476476,127.0721259
녹천교 파크골프장,골프연습장,서울특별시 노원구 마들로5길 25,37.6429027,127.0519889
능골근린공원 농구장,농구장,서울특별시 강동구 상일로12길 60,37.5538105,127.1727391
다락원체육공원,기타,서울특별시 도봉구 창포원로 45 ,37.6931575,127.0482848
당고개배드민턴장,배드민턴장,서울특별시 노원구 상계로 273,37.6703795,127.0789203
당고개인공암벽장,기타,서울특별시 노원구 상계로 305,37.6703795,127.0789203
당곡고등학교,기타,서울특별시 관악구 봉천로21길 108,37.4897021,126.9342798
당곡중학교,기타,서울특별시 관악구 봉천로13길 101,37.4913745,126.9331544
대림운동장 농구장,농구장,서울특별시 영등포구 가마산로31길 16,37.5003388,126.8937751
대림운동장 인조잔디구장,축구장,서울특별시 영등포구 가마산로31길 16,37.5003388,126.8937751
대림운동장 테니스장,테니스장,서울특별시 영등포구 가마산로31길 16,37.5003388,126.8937751
대림체육공원 배드민턴장,배드민턴장,서울특별시 영등포구 도신로 1-16,37.5059852,126.8996582
대왕초등학교,기타,서울특별시 강남구 헌릉로618길 8,37.4637762,127.1063653
대우스포츠센터,생활체육관,서울특별시 도봉구 덕릉로63가길 61,37.6435715,127.039305
대우스포츠센터 수영장,수영장,서울특별시 도봉구 덕릉로63가길 61,37.6435715,127.039305
대치유수지체육공원,기타,서울특별시 강남구 역삼로107길 20-30,37.5064828,127.0680137
더논현스포츠센터,기타,서울특별시 강남구 강남대로120길 33,37.5074821,127.0256405
도곡스포츠센터,생활체육관,서울특별시 강남구 선릉로64길 33,37.4990444,127.0546963
도구머리공원 배드민턴장,배드민턴장,서울특별시 서초구 방배중앙로3길 32,37.480756,126.990418
도담어린이공원 배드민턴장,배드민턴장,서울특별시 강남구 헌릉로569길 46-13,37.4670385,127.0980066
도림2동유수지내체육시설 농구장,농구장,서울특별시 영등포구 대방천로 29-18,37.4985177,126.9144693
도림2동유수지내체육시설 배드민턴장,배드민턴장,서울특별시 영등포구 도신로15길 5,37.5071418,126.8976056
도림2동유수지내체육시설 족구장,기타,서울특별시 영등포구 대방천로 29-18,37.4985177,126.9144693
도봉구민회관,생활체육관,서울특별시 도봉구 도봉로 552,37.6540069,127.0386147
도봉구청부설실내체육관,생활체육관,서울특별시 도봉구 마들로 656 ,37.6687201,127.0473035
도봉구청부설체력단련실,생활체육관,서울특별시 도봉구 마들로 656 ,37.6687201,127.0473035
도봉동실내스포츠센터,생활체육관,서울특별시 도봉구 마들로 805,37.6744157,127.0465126
도봉동실내스포츠센터 수영장,수영장,서울특별시 도봉구 마들로 805 ,37.6744157,127.0465126
도봉실내배드민턴장,배드민턴장,서울특별시 도봉구 마들로 805,37.6744157,127.0465126
도봉초등학교,기타,서울특별시 도봉구 도봉로173길 96,37.679829,127.0414682
독산고등학교,기타,서울특별시 금천구 문성로 64,37.4760972,126.9108025
독산근린공원 배드민턴장,배드민턴장,서울특별시 금천구 범안로 1096,37.466528,126.8932437
독산배드민턴체육관,배드민턴장,서울특별시 금천구 독산로54길 102-82,37.4700038,126.9067021
독산어르신체육센터,생활체육관,서울특별시 금천구 독산로54길 279,37.4700038,126.9067021
독산테니스장,테니스장,서울특별시 금천구 독산로54길 288,37.4676609,126.9091939
돈암초등학교,기타,서울특별시 성북구 동소문로13길 38,37.5938153,127.0117719
동대문구민체육센터,생활체육관,서울특별시 동대문구 장안벚꽃로 67,37.5855936,127.0716082
동대문구민체육센터 수영장,수영장,서울특별시 동대문구 장안벚꽃로 67 ,37.5855936,127.0716082
동대문구체육관,생활체육관,서울특별시 동대문구 답십리로 210-3,37.5733604,127.0569411
동명근린공원 농구장,농구장,서울특별시 강동구 아리수로78길 23,37.5615125,127.1638045
동명근린공원 배구장,기타,서울특별시 강동구 아리수로78길 23,37.5615125,127.1638045
동명근린공원 배드민턴장,배드민턴장,서울특별시 강동구 아리수로78길 23,37.5615125,127.1638045
동명근린공원 족구장,기타,서울특별시 강동구 아리수로78길 23,37.5615125,127.1638045
동명근린공원 축구장,축구장,서울특별시 강동구 아리수로78길 23,37.5615125,127.1638045
동부여성문화센터,생활체육관,서울특별시 종로구 창신길 124,37.5773141,127.0095155
동신초등학교,기타,서울특별시 성북구 보문사길 50,37.583153,127.0176793
동영휘트니스클럽,생활체육관,서울특별시 강남구 언주로 337,37.4928783,127.0472441
동영휘트니스클럽 골프연습장,골프연습장,서울특별시 강남구 언주로 337 ,37.4928783,127.0472441
동영휘트니스클럽 수영장,수영장,서울특별시 강남구 언주로 337,37.4928783,127.0472441
동천재활체육센터,생활체육관,서울특별시 노원구 노원로18길 41,37.6438142,127.0734347
두댐이공원 배드민턴장,배드민턴장,서울특별시 송파구 송이로31길 1-2,37.490595,127.1343858
두레근린공원 농구장,농구장,서울특별시 강동구 동남로79길 46,37.5575905,127.1545356
뚝섬유수지체육공원 축구장,축구장,서울특별시 성동구 성수동1가 685-61,37.5435,127.03742
뚝섬한강공원 X게임장,기타,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 게이트볼장,기타,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 농구장,농구장,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 배드민턴장,배드민턴장,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 수영장,수영장,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 인공암벽장,기타,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 족구장,기타,서울특별시 광진구 강변북로 2273,37.5289594,127.0761108
뚝섬한강공원 축구장,축구장,서울특별시 광진구 자양동 704-3,37.5329735,127.0727409
뚝섬한강공원 테니스장,테니스장,서울특별시 광진구 자양동 410-1,37.5329735,127.0727409
레슬링장,기타,서울특별시 구로구 구로동로26길 54,37.4899362,126.8878523
롯데월드 아이스링크장,기타,서울특별시 송파구 올림픽로 240,37.5114987,127.0982387
마곡레포츠센터,생활체육관,서울특별시 강서구 양천로 251,37.5477666,126.879678
마곡레포츠센터 수영장,수영장,서울특별시 강서구 양천로 251,37.5477666,126.879678
마곡레포츠센터 실내배드민턴장,배드민턴장,서울특별시 강서구 양천로 251,37.5477666,126.879678
마들스포츠타운 축구장,축구장,서울특별시 노원구 덕릉로 450,37.6613408,127.0764902
마들스포츠타운 테니스장,테니스장,서울특별시 노원구 덕릉로 450,37.6613408,127.0764902
마루공원 족구장,기타,서울특별시 강남구 개포로 625,37.4872512,127.0617613
마루공원 테니스장,테니스장,서울특별시 강남구 개포로 625,37.4872512,127.0617613
마루공원 풋살장,축구장,서울특별시 강남구 개포로 625,37.4872512,127.0617613
마장테니스장,테니스장,서울특별시 성동구 마장동 832,37.56743,127.04045
마천청소년센터,생활체육관,서울특별시 송파구 성내천로 319,37.4988681,127.1542279
마포구립 성산당구장,기타,서울특별시 마포구 월드컵로 235 ,37.552033,126.9124539
마포구민체육센터,생활체육관,서울특별시 마포구 월드컵로25길 190 ,37.5573624,126.8987668
마포주민편익시설,생활체육관,서울특별시 마포구 월드컵북로44길 40,37.5766455,126.8953977
마포청소년센터,생활체육관,서울특별시 마포구 성산동 월드컵로 212,37.5663245,126.901491
마포청소년센터 수영장,수영장,서울특별시 마포구 월드컵로 212,37.5663245,126.901491
말죽거리근린공원 배드민턴장,배드민턴장,서울특별시 서초구 바우뫼로21길 34,37.4765294,127.0349032
망원나들목체육관,생활체육관,서울특별시 마포구 동교로1길 39 ,37.5535497,126.9000221
망원동 배드민턴장,배드민턴장,서울특별시 동교로1길 73,37.5535497,126.9000221
망원유수지체육공원,기타,서울특별시 마포구 방울내로11길 198,37.5622185,126.9034886
망원유수지체육공원 게이트볼장,기타,서울특별시 마포구 방울내로11길 198,37.5622185,126.9034886
매봉산농구장,농구장,서울특별시 강남구 남부순환로 2711 ,37.4872884,127.0476339
매봉산실내배드민턴장,배드민턴장,서울특별시 강남구 남부순환로 2711,37.4872884,127.0476339
면목구립테니스장,테니스장,서울특별시 중랑구 동일로 491,37.5743287,127.079624
면일초등학교,기타,서울특별시 중랑구 용마산로100길 13,37.5909292,127.1004668
명일중학교 스크린사격장,기타,서울특별시 강동구 양재대로156길 57,37.556318,127.148621
