name,lat,lng
쌍용아파트입구.창신역,37.58051123,127.0149636
아름다운가게.정독도서관,37.57894808,126.9851272
산정빌라,37.60515199,126.9574922
이화사거리,37.57650956,127.0020915
박종화고택입구,37.61431026,126.9676873
무악현대아파트후문,37.57633723,126.9619412
헌법재판소.안국역,37.5773872,126.9858152
청구빌라,37.60461026,126.956984
서울대어린이병원응급실.갑상선센터,37.57811888,126.999503
화인빌라,37.61293453,126.9685386
행촌주차장,37.57527281,126.962888
창신초등학교,37.5769032,127.0153886
수운회관,37.57521894,126.9866693
상명대후문,37.60402558,126.9573354
힐탑,37.61160556,126.9690206
성결교신대원총회본부,37.57397631,126.9634446
낙원상가,37.57375637,126.9874149
완성빌라,37.60340209,126.9575011
서울대병원장례식장,37.5805554,126.997431
혜화역1번출구,37.58347299,127.0017633
감나무골공원,37.61240596,126.9699479
한국사회과학도서관.이회영기념관,37.57366701,126.9641239
동묘앞역8번출구,37.57269435,127.0142454
종로2가.탑골공원,37.57057137,126.9875484
경진빌라,37.60200372,126.9578304
성대입구,37.58335331,126.9992849
청와대,37.5829713,126.9737681
춘추문,37.58312761,126.9796554
경복궁.국립민속박물관,37.57941352,126.9795911
효자로입구(가상),37.57628833,126.9744666
EN갤러리,37.6134218,126.9706087
유림회관앞,37.5858956,126.9969805
성균관대정문,37.58495635,126.9966204
600주년기념관,37.5873281,126.9939426
성균관대운동장,37.587863,126.99237
학생회관,37.58742039,126.9936746
종로문화체육센터,37.57469356,126.9645321
동대문역2번출구,37.57204945,127.0117218
종각역YMCA,37.57039764,126.9850893
서교빌라,37.60198906,126.9571554
경복궁역,37.57707221,126.9724733
성대입구,37.5832668,126.998853
무애사,37.61390043,126.9718458
단군성전앞,37.57556009,126.9653175
동대문종합시장,37.57121613,127.004958
상명초등학교,37.60092381,126.9567154
법련사,37.57658798,126.9796651
광화문새마을금고,37.57949309,126.9710277
성균관대학교,37.584886,126.996646
참샘골공원,37.6146097,126.9742525
황학정앞,37.57681261,126.9653294
종로5가역.중부교육지원청,37.57141925,127.0020898
인사동들머리.3.1독립선언터,37.57194702,126.983297
정독도서관,37.58026054,126.9800805
오거리.한옥마을입구,37.57946844,126.9697393
평창공원지킴터입구,37.6163964,126.9757439
창경궁.고궁호텔.메이플레이스호텔,37.57655816,126.9974492
광화문,37.57033749,126.9755695
종로1가,37.57037,126.980129
종로2가,37.57008246,126.9864618
종로3가역11번출구,37.5706349,126.9932082
종로3가,37.57010243,126.9909932
종로4가,37.57046926,126.9962507
동대문종합시장종로6가,37.5708648,127.0032912
종로도서관,37.57648423,126.9671252
경복궁역,37.57617809,126.9715056
경복궁역7번출구,37.57581917,126.971682
안국역,37.57661375,126.9852296
안국역,37.57631851,126.985506
창덕궁,37.57752042,126.9889001
성대입구,37.5832828,126.9992358
종로사우나,37.57380111,126.9877504
홍지파크,37.60124243,126.9557163
삼청파출소,37.58164517,126.9813258
통인시장.종로구보건소,37.58033503,126.9687505
종로5가역.광장시장,37.57077247,127.000039
평창동산림제3초소,37.61735605,126.9771031
배화여중고,37.57677876,126.9676986
대학로입구.이화사거리,37.57598417,127.0025802
운현궁,37.57527161,126.9869814
상명대입구,37.60002101,126.9569583
삼청동주민센터,37.58468468,126.9822105
박노수미술관,37.58102656,126.9668945
김창열.윤명로화실,37.616305,126.9783685
사직공원.경복궁역입구,37.57622069,126.9689039
충신시장,37.57497665,127.0054049
안국역2번출구앞,37.57717282,126.9861183
금융연수원,37.58587767,126.9818479
감람산기도원,37.61594393,126.979873
카센터.사직터널앞,37.57409862,126.9658895
재동초등학교,37.57879109,126.9853617
삼청공원삼거리.옥호정터,37.58741852,126.9817445
이화사거리,37.57532007,127.0022813
연화정사,37.614649,126.9794938
대신중고,37.57261781,126.9616893
현대사거리,37.57924178,126.9866354
교남동주민센터,37.57218198,126.9613278
부암동주민센터.무계원,37.59293534,126.9637682
형제봉입구,37.61286432,126.9816862
교남동새마을금고,37.57149436,126.9623375
창신초교,37.57603721,127.0157201
가회동주민센터,37.57994265,126.9851294
볼링장,37.57925544,126.9879589
석파정.서울미술관,37.59476432,126.9637824
지구촌교회,37.61310603,126.9792421
월암공원,37.57122609,126.9646919
숭인1동주민센터,37.577415,127.0155607
북촌한옥마을입구.정세권활동터,37.58128077,126.9851687
하림각,37.59768473,126.9629664
보현빌라,37.61538226,126.9784206
스위스대사관,37.57014132,126.9656961
안국선원.삼거리,37.58274325,126.9852205
세검정교회,37.59938802,126.9600292
혜화동로터리,37.58591961,127.0010032
김종영미술관,37.61326379,126.9781123
서울시교육청,37.56938168,126.9666999
창신쌍용1단지.종로센트레빌아파트,37.58032282,127.0155693
사우디대사관.북촌힐스,37.58386331,126.9852486
상명대입구,37.59985447,126.9574023
혜화초등학교,37.58738929,126.9999909
강북삼성병원,37.56853152,126.9683377
청룡사.보문파크뷰자이아파트,37.57978465,127.0171509
감사원,37.58626565,126.9855618
국민생활관,37.5896276,126.9993138
종로센트레빌후문.e편한세상보문아파트,37.58189784,127.0162354
통일부,37.58753085,126.9861073
서울국제고등학교,37.58907429,126.9971408
성대후문.와룡공원,37.58915228,126.989734
상명초등학교,37.60090493,126.9568174
새마을금고,37.58784069,126.996569
경진빌라,37.60186409,126.9579482
명륜시장.성대후문,37.58872461,126.9952305
완성빌라,37.60333997,126.9576665
양현관,37.589768,126.9937686
상명대후문,37.60407158,126.9574634
샘미용실.종로구청소년상담복지센터,37.59025457,126.9934084
산정빌라,37.60528358,126.9575782
구기빌라,37.60613345,126.9579809
마트앞,37.60669871,126.9587565
국민은행.세검정지점,37.60495417,126.9608727
혜화역4번출구,37.58350804,127.0015539
방송통신대앞,37.57869736,127.0019927
서울대치과대학,37.5774083,126.997801
효제초교.연동교회.김마리아활동터,37.57364134,127.0022088
성균관대학교,37.58846387,126.9900036
서울대치과대학,37.57757273,126.9978632
이화사거리,37.57694834,127.0020085
서울대학교병원현관.암병원현관,37.57908728,126.9981632
종각.공평유적전시관,37.57159379,126.9832427
조계사,37.57360211,126.9831364
동대문역JW메리어트동대문호텔,37.57063698,127.0092821
대학로,37.58189612,127.0021204
창경궁,37.57915963,126.9964163
창덕궁,37.57753017,126.9901776
인사동.북촌,37.57589502,126.9837978
경복궁.국립민속박물관,37.57933918,126.9795487
세종문화회관,37.57313885,126.976912
통인시장,37.57911876,126.9713316
세종문화회관,37.57315586,126.9770139
종각역,37.56937996,126.9828944
인사동.탑골공원,37.57011554,126.9888006
종묘.세운상가,37.57037362,126.9934997
광장시장,37.57075214,126.9996789
