school_name,type,lat,lng
금성초등학교,초등학교,37.61531513,127.0898585
경원중학교,중학교,37.5115816,127.0090183
서울광희초등학교,초등학교,37.56729928,127.0156879
서울보라매초등학교,초등학교,37.49585189,126.9161445
단국대학교사범대학부속고등학교,고등학교,37.49561749,127.0577682
서울방일초등학교,초등학교,37.4852056,126.998849
용화여자고등학교,고등학교,37.65913138,127.0582807
서울신곡초등학교,초등학교,37.53909546,126.8560096
강남중학교,중학교,37.50276263,126.9233466
석촌중학교,중학교,37.50145499,127.1211174
서울백산초등학교,초등학교,37.44673975,126.905146
숭실고등학교,고등학교,37.59327482,126.9024039
창덕여자고등학교,고등학교,37.51624351,127.1402736
가원중학교,중학교,37.49099949,127.1231711
금옥여자고등학교,고등학교,37.51096532,126.8439717
양천고등학교,고등학교,37.5083206,126.8452028
서울세륜초등학교,초등학교,37.51855781,127.1341633
서울정릉초등학교,초등학교,37.61979605,127.0052561
서울수송초등학교,초등학교,37.63732397,127.0332067
서울동구로초등학교,초등학교,37.49407053,126.8927802
경기고등학교,고등학교,37.51756454,127.0560755
서울신우초등학교,초등학교,37.46326397,126.9325353
서울경인초등학교,초등학교,37.53287102,126.8856957
행당중학교,중학교,37.55455404,127.0419634
서울도신초등학교,초등학교,37.49926789,126.9007141
상명중학교,중학교,37.64954781,127.0680416
서울창일초등학교,초등학교,37.64765764,127.0476085
금옥중학교,중학교,37.51096532,126.8439717
중앙대학교사범대학부속중학교,중학교,37.50362942,126.9617326
서울잠일초등학교,초등학교,37.51474166,127.0816362
서울소의초등학교,초등학교,37.55278186,126.9606556
서울과학고등학교,고등학교,37.59154805,126.9984363
경동고등학교,고등학교,37.58669797,127.0163213
장평중학교,중학교,37.56685961,127.0704776
동덕여자중학교,중학교,37.47587863,126.991995
서울불광초등학교,초등학교,37.61342945,126.9307187
서울봉래초등학교,초등학교,37.55641234,126.9652506
덕성여자중학교,중학교,37.57778598,126.9819235
서울영희초등학교,초등학교,37.4923004,127.0811328
서울금동초등학교,초등학교,37.44773848,126.9163989
서울가주초등학교,초등학교,37.49656722,127.1292617
성동글로벌경영고등학교,고등학교,37.56585472,127.0135246
반포고등학교,고등학교,37.50270273,127.0165603
선유중학교,중학교,37.53328647,126.8943293
선덕고등학교,고등학교,37.65634868,127.0268766
대경중학교,중학교,37.55637326,127.0169792
대일외국어고등학교,고등학교,37.61330459,127.014176
강서고등학교,고등학교,37.53631557,126.8657711
자양고등학교,고등학교,37.53607797,127.0733395
서울창림초등학교,초등학교,37.64323708,127.0416041
